family,seed,config,outcome,success,collided,reached,time_to_goal,path_length,min_clearance,steps,alpha_max,alpha_escape_frac,slack_max,slack_mean,cbf_active_steps,entrapped_frac,n_obstacles,n_dynamic,feasible
narrowdyn,31,A_stock,COLLISION,0,1,0,6.2,2.2205,-0.0106,62,2.0,0.0,0.0,0.0,0,0.0,12,1,1
narrowdyn,31,C_escape,COLLISION,0,1,0,6.2,2.2205,-0.0106,62,2.0,0.0,0.0,0.0,0,0.0,12,1,1
narrowdyn,31,D_cbf,COLLISION,0,1,0,6.0,2.0833,-0.0067,60,2.0,0.0,0.004592,0.000135,59,0.0,12,1,1
narrowdyn,31,E_indep,COLLISION,0,1,0,6.0,2.0833,-0.0067,60,2.0,0.0,0.004592,0.000135,59,0.0,12,1,1
narrowdyn,31,F_full,COLLISION,0,1,0,6.0,2.0833,-0.0067,60,2.0,0.0,0.004592,0.000135,59,0.0,12,1,1
narrowdyn,31,Fminus_nogap,COLLISION,0,1,0,6.0,2.0833,-0.0067,60,2.0,0.0,0.004592,0.000135,59,0.0,12,1,1
dynamic,31,A_stock,SUCCESS,1,0,1,27.4,11.2872,0.0772,274,2.0,0.0,0.0,0.0,0,0.0,2,1,1
dynamic,31,C_escape,SUCCESS,1,0,1,21.5,8.0924,0.1504,215,2.0,0.0,0.0,0.0,0,0.2804,2,1,1
dynamic,31,D_cbf,SUCCESS,1,0,1,31.5,13.0761,0.1102,315,2.0,0.0,0.000316,1e-06,314,0.0,2,1,1
dynamic,31,E_indep,SUCCESS,1,0,1,25.2,7.5172,0.0551,252,2.0,0.0,0.01106,0.000485,251,0.259,2,1,1
dynamic,31,F_full,SUCCESS,1,0,1,25.2,7.5197,0.0551,252,6.0,0.2311,0.01182,0.000497,251,0.259,2,1,1
dynamic,31,Fminus_nogap,SUCCESS,1,0,1,31.4,13.0333,0.1133,314,6.0,0.4952,0.000316,1e-06,313,0.5112,2,1,1
narrowdyn,30,A_stock,TIMEOUT,0,0,0,40.1,2.479,0.3253,401,2.0,0.0,0.0,0.0,0,0.0,10,1,1
narrowdyn,30,C_escape,SUCCESS,1,0,1,29.4,6.4101,0.3253,294,2.0,0.0,0.0,0.0,0,0.2287,10,1,1
narrowdyn,30,D_cbf,TIMEOUT,0,0,0,40.1,2.479,0.3253,401,2.0,0.0,0.0,0.0,400,0.0,10,1,1
narrowdyn,30,E_indep,SUCCESS,1,0,1,29.4,6.4101,0.3253,294,2.0,0.0,0.0,0.0,293,0.2287,10,1,1
narrowdyn,30,F_full,SUCCESS,1,0,1,29.4,6.4101,0.3253,294,6.0,0.2287,0.0,0.0,293,0.2287,10,1,1
narrowdyn,30,Fminus_nogap,TIMEOUT,0,0,0,40.1,2.4615,0.3253,401,6.0,0.7825,0.0,0.0,400,0.7825,10,1,1
dynamic,32,A_stock,SUCCESS,1,0,1,28.1,8.9132,0.1545,281,2.0,0.0,0.0,0.0,0,0.0,2,2,1
dynamic,32,C_escape,SUCCESS,1,0,1,30.9,10.1436,0.1545,309,2.0,0.0,0.0,0.0,0,0.3182,2,2,1
dynamic,32,D_cbf,SUCCESS,1,0,1,28.1,8.9132,0.1545,281,2.0,0.0,1e-06,0.0,280,0.0,2,2,1
dynamic,32,E_indep,SUCCESS,1,0,1,24.8,9.4074,0.1545,248,2.0,0.0,0.003301,5e-05,247,0.3036,2,2,1
dynamic,32,F_full,SUCCESS,1,0,1,25.2,9.7251,0.1545,252,6.0,0.2869,0.002297,9e-06,251,0.3108,2,2,1
dynamic,32,Fminus_nogap,SUCCESS,1,0,1,28.1,8.9123,0.1545,281,6.0,0.225,1e-06,0.0,280,0.25,2,2,1
clutter,32,A_stock,TIMEOUT,0,0,0,40.1,4.2952,0.3125,401,2.0,0.0,0.0,0.0,0,0.0,9,0,1
